No,feedback,aspect,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment,feed_no_emo,_emo,n_emo
1,"एक बहुत ही मजबूत पाठ्यक्रम, Azure में अपने क्लाउड कौशल को बढ़ाने के लिए अत्यधिक अनुशंसित",4,0,0,0,0,1,0,0,1,1,"एक बहुत ही मजबूत पाठ्यक्रम, Azure में अपने क्लाउड कौशल को बढ़ाने के लिए अत्यधिक अनुशंसित",[],0
2,अब तक का अनुभव शानदार रहा है,4,0,0,0,0,1,0,0,0,1,अब तक का अनुभव शानदार रहा है,[],0
3,व्याख्याएँ समझने में आसान हैं,4,0,0,0,0,1,0,0,1,1,व्याख्याएँ समझने में आसान हैं,[],0
4,बेहतरीन पाठ्यक्रम !!! बहुत अच्छी व्याख्या के साथ बहुत अच्छे उदाहरण,4,0,0,0,0,1,0,1,1,1,बेहतरीन पाठ्यक्रम !!! बहुत अच्छी व्याख्या के साथ बहुत अच्छे उदाहरण,[],0
5,इसने मेरे सभी अवधारणाओं को स्पष्ट कर दिया,4,0,0,0,0,0,0,0,1,1,इसने मेरे सभी अवधारणाओं को स्पष्ट कर दिया,[],0
6,बहुत-बहुत धन्यवाद,4,0,0,0,0,1,0,0,0,2,बहुत-बहुत धन्यवाद,[],0
7,Azure शुरू करने के लिए एकदम सही पाठ्यक्रम,4,0,0,0,0,1,0,0,1,1,Azure शुरू करने के लिए एकदम सही पाठ्यक्रम,[],0
8,"विषयवस्तु के अनुसार, सीखना आसान है",4,0,0,0,0,1,0,0,1,1,"विषयवस्तु के अनुसार, सीखना आसान है",[],0
9,धन्यवाद,4,0,0,0,0,1,0,0,0,1,धन्यवाद,[],0
10,उत्कृष्ट पाठ्यक्रम,4,0,0,0,0,1,0,0,0,1,उत्कृष्ट पाठ्यक्रम,[],0
11,सभी विषयों को लाइव डेमो के साथ विस्तार से कवर करता है,4,0,0,0,0,0,0,0,1,1,सभी विषयों को लाइव डेमो के साथ विस्तार से कवर करता है,[],0
12,अधिकांश विषयवस्तु को कवर किया गया,4,0,0,0,0,0,0,0,1,0,अधिकांश विषयवस्तु को कवर किया गया,[],0
13,Azure शुरू करने के लिए अच्छा पाठ्यक्रम,4,0,0,0,0,0,0,0,1,1,Azure शुरू करने के लिए अच्छा पाठ्यक्रम,[],0
14,"Udemy में अब तक के सबसे बेहतरीन प्रशिक्षक, प्रत्येक विषय को बहुत अच्छी तरह से समझाया गया है",4,0,0,0,0,1,0,0,1,1,"Udemy में अब तक के सबसे बेहतरीन प्रशिक्षक, प्रत्येक विषय को बहुत अच्छी तरह से समझाया गया है",[],0
15,"सामान्यतः, पाठ्यक्रम अच्छी तरह से डिजाइन किया गया था और सभी को कवर करता है",4,0,0,0,0,1,0,0,1,1,"सामान्यतः, पाठ्यक्रम अच्छी तरह से डिजाइन किया गया था और सभी को कवर करता है",[],0
16,प्रत्येक विषय पर अच्छी व्याख्या और समझने में आसान,4,0,0,0,0,1,0,0,1,1,प्रत्येक विषय पर अच्छी व्याख्या और समझने में आसान,[],0
17,"शानदार Azure अवलोकन, बिल्कुल वही जो मैं ढूंढ रहा था",4,0,0,0,0,1,0,1,0,1,"शानदार Azure अवलोकन, बिल्कुल वही जो मैं ढूंढ रहा था",[],0
18,"सामान्यतः, पाठ्यक्रम अच्छी तरह से डिजाइन किया गया था और सभी को कवर करता है",4,0,0,0,0,0,0,0,1,1,"सामान्यतः, पाठ्यक्रम अच्छी तरह से डिजाइन किया गया था और सभी को कवर करता है",[],0
19,"व्याख्याएँ अच्छी हैं, बोली समझने योग्य है",4,0,0,0,0,1,0,0,1,1,"व्याख्याएँ अच्छी हैं, बोली समझने योग्य है",[],0
20,"उत्कृष्ट प्रशिक्षक, स्पष्ट व्याख्याएँ और बहुत आसान समझने में",4,0,0,0,0,1,0,0,1,1,"उत्कृष्ट प्रशिक्षक, स्पष्ट व्याख्याएँ और बहुत आसान समझने में",[],0
21,बहुत अच्छा और जटिलता वाला पाठ्यक्रम,4,0,0,0,0,1,0,0,1,1,बहुत अच्छा और जटिलता वाला पाठ्यक्रम,[],0
22,अच्छा,4,0,0,0,0,1,0,0,0,1,अच्छा,[],0
23,यह पाठ्यक्रम बेहतरीन जानकारी प्रदान कर रहा है और बहुत अच्छा प्रैक्टिकल अनुभव भी,4,0,0,0,0,1,0,0,1,1,यह पाठ्यक्रम बेहतरीन जानकारी प्रदान कर रहा है और बहुत अच्छा प्रैक्टिकल अनुभव भी,[],0
24,बहुत अच्छा और विस्तारपूर्ण पाठ्यक्रम हाथों के उदाहरणों के साथ,4,0,0,0,0,1,0,0,1,1,बहुत अच्छा और विस्तारपूर्ण पाठ्यक्रम हाथों के उदाहरणों के साथ,[],0
25,बेहतरीन प्रशिक्षण पाठ्यक्रम,4,0,0,0,0,1,0,0,1,1,बेहतरीन प्रशिक्षण पाठ्यक्रम,[],0
26,जबरदस्त Azure पाठ्यक्रम,4,0,0,0,0,1,0,0,0,1,जबरदस्त Azure पाठ्यक्रम,[],0
27,यह पाठ्यक्रम शानदार है,4,0,0,0,0,1,0,0,0,1,यह पाठ्यक्रम शानदार है,[],0
28,यह एक व्यावहारिक कदम-दर-कदम तरीका है जिसमें कुछ सिद्धांत भी शामिल हैं — जो मैं चाहता था वही,4,0,1,0,0,1,0,0,1,1,यह एक व्यावहारिक कदम-दर-कदम तरीका है जिसमें कुछ सिद्धांत भी शामिल हैं — जो मैं चाहता था वही,[],0
29,"अवधारणाओं को समझना वास्तव में आसान है, और मुझे यह बहुत पसंद आया",4,0,0,0,0,1,0,0,1,1,"अवधारणाओं को समझना वास्तव में आसान है, और मुझे यह बहुत पसंद आया",[],0
30,कठिन विषयों की वास्तव में अच्छी और विस्तृत व्याख्या,4,0,0,0,0,1,0,0,1,1,कठिन विषयों की वास्तव में अच्छी और विस्तृत व्याख्या,[],0
31,"हाँ, यह अच्छा है",4,0,0,0,0,1,0,0,0,1,"हाँ, यह अच्छा है",[],0
32,"बहुत अच्छे सर, बहुत अच्छा समझाया स्टेप बाय स्टेप",4,0,0,0,0,1,0,0,1,1,"बहुत अच्छे सर, बहुत अच्छा समझाया स्टेप बाय स्टेप",[],0
33,मैं एक शब्द भी नहीं समझ पा रहा हूँ जो वह कह रहे हैं,2,0,0,0,1,0,0,0,0,0,मैं एक शब्द भी नहीं समझ पा रहा हूँ जो वह कह रहे हैं,[],0
34,"सर, मेरा वर्चुअलबॉक्स 64-बिट है लेकिन यह 32-बिट दिखा रहा है, कृपया मदद करें कि वर्चुअलबॉक्स कैसे उपयोग करें",0,0,1,0,0,0,0,0,1,1,"सर, मेरा वर्चुअलबॉक्स 64-बिट है लेकिन यह 32-बिट दिखा रहा है, कृपया मदद करें कि वर्चुअलबॉक्स कैसे उपयोग करें",[],0
35,"इस कोर्स में बहुत कुछ सीखने को है, बहुत अच्छा कोर्स खरीदा, मैं इसे खरीदकर संतुष्ट हूँ",4,0,0,0,0,1,0,0,1,1,"इस कोर्स में बहुत कुछ सीखने को है, बहुत अच्छा कोर्स खरीदा, मैं इसे खरीदकर संतुष्ट हूँ",[],0
36,"मुझे वास्तव में आनंद आया और मैंने नई-नई चीजें सीखी, यह कोर्स इसके लायक है",4,0,0,0,0,1,0,0,0,1,"मुझे वास्तव में आनंद आया और मैंने नई-नई चीजें सीखी, यह कोर्स इसके लायक है",[],0
