No,feedback,aspect,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment,feed_no_emo,_emo,n_emo
1,good,4,0,0,0,0,1,0,0,0,1,good,[],0
2,One of the most interesting and engaging courses on the internet that can make even boring topics like NLP interesting to the learner,4,0,1,0,0,1,0,1,0,1,One of the most interesting and engaging courses on the internet that can make even boring topics like NLP interesting to the learner,[],0
3,Course is pretty splendid as a beginner's course,4,0,0,0,0,1,0,0,0,1,Course is pretty splendid as a beginner's course,[],0
4,"however, I would have been happier if the course contained transformers 🙏👌",2,0,1,0,0,0,1,1,0,2,"however, I would have been happier if the course contained transformers","['🙏', '👌']",2
5,Still excellent course to get a head-start with NLP fundamentals,4,0,0,0,0,1,0,0,1,1,Still excellent course to get a head-start with NLP fundamentals,[],0
6,"Amazing course! Covers lots of ground in good detail, no wasteful topics!",4,0,0,0,0,1,0,1,1,1,"Amazing course! Covers lots of ground in good detail, no wasteful topics!",[],0
7,For a complete beginner to NLP this has been a great hands on and instructive course that allows for a deeper level of understanding outside of watching YouTube tutorials and even other online courses,4,0,0,0,0,1,0,0,1,1,For a complete beginner to NLP this has been a great hands on and instructive course that allows for a deeper level of understanding outside of watching YouTube tutorials and even other online courses,[],0
8,Following along and being able to build the tools from scratch helps cement the lessons,4,0,0,0,0,1,0,0,1,1,Following along and being able to build the tools from scratch helps cement the lessons,[],0
9,Highly recommend if even if you're a total newbie 👍,4,0,1,0,0,1,0,1,1,1,Highly recommend if even if you're a total newbie,['👍'],1
10,The course is excellent for anyone looking to deepen their AI knowledge and truly be able to to understand the logic behind the code,4,0,1,0,0,1,0,0,1,1,The course is excellent for anyone looking to deepen their AI knowledge and truly be able to to understand the logic behind the code,[],0
11,"The instructror's approach to coding is clear and efficient, which help to be better in coding",4,0,0,0,0,1,0,0,1,1,"The instructror's approach to coding is clear and efficient, which help to be better in coding",[],0
12,"However the instructor's attitude to comment section, with responses that directly addressing to other of his courses or mentioning the ""prerequisities"" of the course, when he could simply address the queries",3,1,0,0,0,0,1,0,0,2,"However the instructor's attitude to comment section, with responses that directly addressing to other of his courses or mentioning the ""prerequisities"" of the course, when he could simply address the queries",[],0
13,"He could just add it to his slides, extra material etc",2,0,0,0,0,0,0,0,0,2,"He could just add it to his slides, extra material etc",[],0
