No,feedback,aspect,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment,feed_no_emo,_emo,n_emo
1,Très bien,4,0,0,0,0,1,0,0,0,1,Très bien,[],0
2,Le cours sur GitHub est bien mais tu devrais coder en même temps que tu expliques ton code,1,1,0,0,0,0,0,0,0,0,Le cours sur GitHub est bien mais tu devrais coder en même temps que tu expliques ton code,[],0
3,"Vous expliquez comme quelqu'un qui fait un exposé sur un sujet, normalement, vous devez coder en même temps et exécuter le code ligne par ligne",1,1,0,1,0,0,0,0,0,0,"Vous expliquez comme quelqu'un qui fait un exposé sur un sujet, normalement, vous devez coder en même temps et exécuter le code ligne par ligne",[],0
4,"Parfois, vos explications tombent à plat",1,0,0,1,0,0,0,0,0,0,"Parfois, vos explications tombent à plat",[],0
5,"Les approches utilisées sont intéressantes, mais il manque la pédagogie pour les expliquer",1,0,0,0,0,0,0,0,1,0,"Les approches utilisées sont intéressantes, mais il manque la pédagogie pour les expliquer",[],0
6,"Par contre, les fichiers sur GitHub sont bien expliqués",4,0,0,0,0,1,0,0,1,1,"Par contre, les fichiers sur GitHub sont bien expliqués",[],0
7,Cours très claire et très bien expliqué,4,0,0,0,0,1,0,0,1,1,Cours très claire et très bien expliqué,[],0
8,Je recommande vivement,4,0,0,0,0,1,0,0,1,1,Je recommande vivement,[],0
9,Le cours à l'air complet et englobe les aspects de la certification Google,4,0,0,0,0,0,0,0,1,1,Le cours à l'air complet et englobe les aspects de la certification Google,[],0
10,"A voir sur le long terme, si la qualité est la même",4,0,1,0,0,0,0,0,0,2,"A voir sur le long terme, si la qualité est la même",[],0
11,"Ce cour me convient, c'est ce que j'espérais: Construire mon réseau de neurones",4,0,0,0,0,1,0,0,1,1,"Ce cour me convient, c'est ce que j'espérais: Construire mon réseau de neurones",[],0
12,"Le cours est d'excellente qualité, les explications sont claires et permettent de comprendre en profondeur les concepts cachés derrière les fonctionnalités de tensorflow, même le terme ""tensorflow"" est expliqué, c'est dire à quel point rien n'est laissé au hasard",4,0,0,0,0,1,0,0,1,1,"Le cours est d'excellente qualité, les explications sont claires et permettent de comprendre en profondeur les concepts cachés derrière les fonctionnalités de tensorflow, même le terme ""tensorflow"" est expliqué, c'est dire à quel point rien n'est laissé au hasard",[],0
13,Je recommande vivement ce cours,4,0,0,0,0,1,0,0,1,1,Je recommande vivement ce cours,[],0
14,excellente présentation,4,0,0,0,0,1,0,0,1,1,excellente présentation,[],0
15,Belle présentation du cours,4,0,0,0,0,1,0,0,1,1,Belle présentation du cours,[],0
16,Un cours conçu pour simplifier l'application mathématique dans la mise en œuvre des modèles ML / DL etc,4,0,0,0,0,0,0,0,1,1,Un cours conçu pour simplifier l'application mathématique dans la mise en œuvre des modèles ML / DL etc,[],0
17,Une approche notion/vidéo qui permet de suivre à son rythme sans perdre le file et se retrouver au besoin,4,0,0,0,0,0,0,0,1,1,Une approche notion/vidéo qui permet de suivre à son rythme sans perdre le file et se retrouver au besoin,[],0
18,"Vraiment intéressant pour débutant ou professionnel qui souhaite comprendre les principes sous jacent de l'IA, Je recommande",4,0,0,0,0,1,0,0,1,1,"Vraiment intéressant pour débutant ou professionnel qui souhaite comprendre les principes sous jacent de l'IA, Je recommande",[],0
19,J'ai récemment suivi ce cours et je suis vraiment impressionné,4,0,0,0,0,1,0,1,1,1,J'ai récemment suivi ce cours et je suis vraiment impressionné,[],0
20,"Malgré la courte durée requise pour le suivre, il est très complet et bien structuré",4,0,0,0,0,1,0,0,1,1,"Malgré la courte durée requise pour le suivre, il est très complet et bien structuré",[],0
21,Les concepts sont présentés clairement et de manière concise,4,0,0,0,0,0,0,0,1,1,Les concepts sont présentés clairement et de manière concise,[],0
22,Je le recommande vivement à quiconque souhaite avoir une compréhension solide du sujet en un minimum de temps,4,0,1,0,0,1,0,0,1,1,Je le recommande vivement à quiconque souhaite avoir une compréhension solide du sujet en un minimum de temps,[],0
23,"J'ai appris tous ce dont j'avais besoin d'apprendre ! On y voit tous ce qu'il faut pour se préparer pour l'examen Tensorflow Developer Certificate, on a même une petite application streamlit avec une IA de recyclage (Smart Trash)",4,0,0,0,0,1,0,0,1,1,"J'ai appris tous ce dont j'avais besoin d'apprendre ! On y voit tous ce qu'il faut pour se préparer pour l'examen Tensorflow Developer Certificate, on a même une petite application streamlit avec une IA de recyclage (Smart Trash)",[],0
24,"J'ai codé en suivant les vidéos, j'ai pris aussi des automatismes, plutôt sympa pour quelqu'un comme moi pour qui python n'est pas son langage de référence",4,0,0,0,0,1,0,0,1,1,"J'ai codé en suivant les vidéos, j'ai pris aussi des automatismes, plutôt sympa pour quelqu'un comme moi pour qui python n'est pas son langage de référence",[],0
25,"En terme d'apprentissage c'est tellement rare d'avoir du contenu aussi qualitatif en langue française, je recommande hautement cette formation sur le framework Tensorflow",4,0,0,0,0,1,0,0,1,1,"En terme d'apprentissage c'est tellement rare d'avoir du contenu aussi qualitatif en langue française, je recommande hautement cette formation sur le framework Tensorflow",[],0
26,Merci Kevin pour ton travail 👌,4,0,0,0,0,1,0,0,1,1,Merci Kevin pour ton travail,['👌'],1
27,La meilleure pédagogie ever,4,0,0,0,0,1,0,0,1,1,La meilleure pédagogie ever,[],0
28,"Aucune notion ne vous est balancée à la gueule au hasard, l'enseignant prend le temps d'expliquer la cause du pourquoi avec des exemples clairs et précis pour la meilleur compréhension possible",4,0,0,0,0,1,0,0,1,1,"Aucune notion ne vous est balancée à la gueule au hasard, l'enseignant prend le temps d'expliquer la cause du pourquoi avec des exemples clairs et précis pour la meilleur compréhension possible",[],0
29,Les formateurs devraient tous s'en inspirer,4,0,0,0,0,0,0,0,1,1,Les formateurs devraient tous s'en inspirer,[],0
30,"Cours très explicite et clair, je le recommande vivement",4,0,0,0,0,1,0,0,1,1,"Cours très explicite et clair, je le recommande vivement",[],0
31,Excellente formation ! L'approche consistant à essayer d'améliorer le modèle de classification d'images m'a particulièrement aidé à me sentir plus impliqué et à mieux comprendre le sujet,4,0,0,0,0,1,0,0,1,1,Excellente formation ! L'approche consistant à essayer d'améliorer le modèle de classification d'images m'a particulièrement aidé à me sentir plus impliqué et à mieux comprendre le sujet,[],0
32,"Les explications étaient très claires et faciles à comprendre, ce qui a rendu l'apprentissage à la fois agréable et efficace",4,0,0,0,0,1,0,0,1,1,"Les explications étaient très claires et faciles à comprendre, ce qui a rendu l'apprentissage à la fois agréable et efficace",[],0
33,Merci pour cette expérience enrichissante !,4,0,0,0,0,1,0,0,1,1,Merci pour cette expérience enrichissante !,[],0
34,Super cours qui permet de bien appréhender tout les concepts importants,4,0,0,0,0,1,0,0,1,1,Super cours qui permet de bien appréhender tout les concepts importants,[],0
35,Jusqu'à présent le cours correspond à mes attentes => OK,4,0,1,0,0,0,0,0,1,1,Jusqu'à présent le cours correspond à mes attentes => OK,[],0
36,"felicitation, l'aventure continue et j'espere trouver le meilleurs",4,0,1,0,0,1,0,0,0,1,"felicitation, l'aventure continue et j'espere trouver le meilleurs",[],0
37,"Méthode pédagogique très intéressante et originale, Bravo",4,0,0,0,0,1,0,0,1,1,"Méthode pédagogique très intéressante et originale, Bravo",[],0
38,bon,4,0,0,0,0,1,0,0,0,1,bon,[],0
39,superbe vidéo,4,0,0,0,0,1,0,0,0,1,superbe vidéo,[],0
40,Très clair,4,0,0,0,0,0,0,0,1,1,Très clair,[],0
41,excellent,4,0,0,0,0,1,0,0,1,1,excellent,[],0
42,TRES ENRICHISSANT,4,0,0,0,0,1,0,0,1,1,TRES ENRICHISSANT,[],0
43,Great,4,0,0,0,0,1,0,0,1,1,Great,[],0
44,Merci !,4,0,0,0,0,1,0,0,0,1,Merci !,[],0
45,Great course,4,0,0,0,0,1,0,0,1,1,Great course,[],0
46,"Bien, toutefois la partie série temporelle devrait être revue ou reprise pour Imen pas avoir un tel niveau d’écart sur le GRU et LSTM",2,0,1,0,0,0,0,0,0,0,"Bien, toutefois la partie série temporelle devrait être revue ou reprise pour Imen pas avoir un tel niveau d’écart sur le GRU et LSTM",[],0
47,Quelques informations pas très claires toujours sur la série temporelle,1,0,0,0,0,0,0,0,0,0,Quelques informations pas très claires toujours sur la série temporelle,[],0
48,Toutefois un grand ++ sur la partie théorie appliquée en créant « notre tensorflow » en développant nos fonctions de dérivées partielles,4,0,0,0,0,1,0,0,1,1,Toutefois un grand ++ sur la partie théorie appliquée en créant « notre tensorflow » en développant nos fonctions de dérivées partielles,[],0
49,J'ai suivi ce cours de Deep Learning en plus en français et je suis extrêmement satisfait de l'expérience,4,0,0,0,0,1,0,0,1,1,J'ai suivi ce cours de Deep Learning en plus en français et je suis extrêmement satisfait de l'expérience,[],0
50,"Le contenu est riche, bien expliqué, et structuré de manière logique",4,0,0,0,0,1,0,0,1,1,"Le contenu est riche, bien expliqué, et structuré de manière logique",[],0
51,"Les exemples pratiques étaient très instructifs, et le formateur a su rendre des concepts complexes, accessibles",4,0,0,0,0,1,0,0,1,1,"Les exemples pratiques étaient très instructifs, et le formateur a su rendre des concepts complexes, accessibles",[],0
52,Les ressources supplémentaires étaient également précieuses,4,0,0,0,0,1,0,0,1,1,Les ressources supplémentaires étaient également précieuses,[],0
53,Je recommande vivement ce cours à quiconque souhaite plonger dans le Deep Learning,4,0,0,0,0,1,0,0,1,1,Je recommande vivement ce cours à quiconque souhaite plonger dans le Deep Learning,[],0
54,"The course is very amazing with a lot concept learned, my preference is the CNN",4,0,0,0,0,1,0,0,1,1,"The course is very amazing with a lot concept learned, my preference is the CNN",[],0
55,Très bonnes explications des concepts de base,4,0,0,0,0,1,0,0,1,1,Très bonnes explications des concepts de base,[],0
56,J'apprécie la manière dont les choses sont expliquées de façon intuitive,4,0,0,0,0,1,0,0,1,1,J'apprécie la manière dont les choses sont expliquées de façon intuitive,[],0
57,Ce que j'ai aimé le plus c'est l'explication des intuitions derrière les formules mathématiques,4,0,0,0,0,1,0,0,1,1,Ce que j'ai aimé le plus c'est l'explication des intuitions derrière les formules mathématiques,[],0
58,Bravo !,4,0,0,0,0,1,0,0,0,1,Bravo !,[],0
59,"Les cours sont très intéressants, et le formateur excelle vraiment avec une approche pédagogique bien conçue",4,0,0,0,0,1,0,0,1,1,"Les cours sont très intéressants, et le formateur excelle vraiment avec une approche pédagogique bien conçue",[],0
60,Félicitations 🎉,4,0,0,0,0,1,0,0,0,2,Félicitations,['🎉'],1
61,"Satisfaisant , le niveau de facile à comprendre et assez courtes ce qui me facilite la reprise de la vidéo en cas non d'une notion",4,0,0,0,0,0,0,0,1,1,"Satisfaisant , le niveau de facile à comprendre et assez courtes ce qui me facilite la reprise de la vidéo en cas non d'une notion",[],0
62,Oui le cours correspond à mes attentes,4,0,0,0,0,0,0,0,1,1,Oui le cours correspond à mes attentes,[],0
63,Top,4,0,0,0,0,1,0,0,0,1,Top,[],0
64,Simplicité et pertinence,4,0,0,0,0,0,0,0,1,1,Simplicité et pertinence,[],0
65,C’est bien,4,0,0,0,0,1,0,0,0,1,C’est bien,[],0
66,très cool,4,0,0,0,0,1,0,0,0,1,très cool,[],0
67,"Faire un cours basé sur des exemples concrets, c'est très bien",4,0,0,0,0,1,0,0,1,1,"Faire un cours basé sur des exemples concrets, c'est très bien",[],0
68,"Mais encore faut-il que les exemples fonctionnent ! On suit le cours, on essaie de comprendre (ce n'est pas très clair), on réalise le code et, arrivé à la fin, les prédictions ne fonctionnent pas, sans plus d'explications",2,1,0,1,0,0,0,0,0,0,"Mais encore faut-il que les exemples fonctionnent ! On suit le cours, on essaie de comprendre (ce n'est pas très clair), on réalise le code et, arrivé à la fin, les prédictions ne fonctionnent pas, sans plus d'explications",[],0
69,Déçu,2,0,0,1,0,0,1,0,0,0,Déçu,[],0
70,"Cours très fouillis, trop compact, pas assez partitionné ce qui donne une sensation de cours mal préparé",2,0,0,1,0,0,0,0,0,0,"Cours très fouillis, trop compact, pas assez partitionné ce qui donne une sensation de cours mal préparé",[],0
71,De plus nous n’achetons pas un cours pour voir du prosélytisme religieux!,2,1,0,1,0,0,0,0,0,0,De plus nous n’achetons pas un cours pour voir du prosélytisme religieux!,[],0
72,Le professeur est très clair dans ses explications,4,0,0,0,0,1,0,0,1,1,Le professeur est très clair dans ses explications,[],0
73,c'etait une chouettes experience et tres utile pour ameliorer mon dialegte,4,0,0,0,0,1,0,0,1,1,c'etait une chouettes experience et tres utile pour ameliorer mon dialegte,[],0
74,EXCELLENT,4,0,0,0,0,1,0,0,1,1,EXCELLENT,[],0
75,"The teacher is very good, has a very good pedagogy and is very clear",4,0,0,0,0,1,0,0,1,1,"The teacher is very good, has a very good pedagogy and is very clear",[],0
76,He also provides additional teaching resources,4,0,0,0,0,1,0,0,1,1,He also provides additional teaching resources,[],0
77,Les explications ainsi que le contenu du cours sont très claire,4,0,0,0,0,1,0,0,1,1,Les explications ainsi que le contenu du cours sont très claire,[],0
78,"je vais presque finir par aimer cette langue ""barbare"" 🙂 Bravo",4,0,0,0,0,1,0,0,0,1,"je vais presque finir par aimer cette langue ""barbare""  Bravo",['🙂'],1
79,"prima voor mij , De cursus fit me wel",4,0,0,0,0,1,0,0,1,1,"prima voor mij , De cursus fit me wel",[],0
80,Bedankt,4,0,0,0,0,1,0,0,0,2,Bedankt,[],0
81,"Parfait pour moi, merci",4,0,0,0,0,1,0,0,0,1,"Parfait pour moi, merci",[],0
82,Très bien,4,0,0,0,0,1,0,0,0,1,Très bien,[],0
83,Cava,4,0,0,0,0,1,0,0,0,2,Cava,[],0
84,"Le module 3 de la section 2 ne peut être ouvert, ça renvoie au chapitre 4 ""Présentation du concept de ML""",2,0,0,1,0,0,0,0,0,1,"Le module 3 de la section 2 ne peut être ouvert, ça renvoie au chapitre 4 ""Présentation du concept de ML""",[],0
85,Quelques approximations et hésitations,2,0,0,1,0,0,0,0,0,0,Quelques approximations et hésitations,[],0
86,"Parce que, mon apprentissage se passe bien",4,0,0,0,0,0,0,0,1,1,"Parce que, mon apprentissage se passe bien",[],0
87,"Bon prof, sympa et agréable à suivre",4,0,0,0,0,1,0,0,1,1,"Bon prof, sympa et agréable à suivre",[],0
88,Cours tres bien et tres interessant,4,0,0,0,0,1,0,0,1,1,Cours tres bien et tres interessant,[],0
89,Fluide sans être trop rapide,4,0,0,0,0,1,0,0,1,1,Fluide sans être trop rapide,[],0
90,Un bon rythme de répétitions pour bien assimiler,4,0,0,0,0,1,0,0,1,1,Un bon rythme de répétitions pour bien assimiler,[],0
91,"belle introduction pour cette langue, cours assez explicite",4,0,0,0,0,1,0,0,1,1,"belle introduction pour cette langue, cours assez explicite",[],0
92,A voir sur le long terme,2,0,1,0,0,0,0,0,0,2,A voir sur le long terme,[],0
93,Je pourrais réévaluer mon avis,2,0,1,0,0,0,0,0,0,1,Je pourrais réévaluer mon avis,[],0
94,"Très bonne pédagogie, le format de cours est intéressant",4,0,0,0,0,1,0,0,1,1,"Très bonne pédagogie, le format de cours est intéressant",[],0
95,Une façon très ludique d'apprendre le néerlandais,4,0,0,0,0,1,0,0,1,1,Une façon très ludique d'apprendre le néerlandais,[],0
96,Alain is een good leraar en ik ben a slecht student 😄,4,0,0,0,0,1,1,0,0,1,Alain is een good leraar en ik ben a slecht student,['😄'],1
97,"Alain est très pédagogue et j'apprends très facilement, merci Alain",4,0,0,0,0,1,0,0,1,1,"Alain est très pédagogue et j'apprends très facilement, merci Alain",[],0
98,"Ce cours est vraiment bien, j'ai beaucoup apprécié le fait qu'Alain nous force à comprendre par nous-même en n'utilisant aucune autre langue que le néerlandais !",4,0,0,0,0,1,0,0,1,1,"Ce cours est vraiment bien, j'ai beaucoup apprécié le fait qu'Alain nous force à comprendre par nous-même en n'utilisant aucune autre langue que le néerlandais !",[],0
99,Cours très intéressant et facile d'accès,4,0,0,0,0,1,0,0,1,1,Cours très intéressant et facile d'accès,[],0
100,Je recommande chaudement et vais continuer avec les cours d'Alain!,4,0,0,0,0,1,0,0,1,1,Je recommande chaudement et vais continuer avec les cours d'Alain!,[],0
101,J’ai beaucoup appris,4,0,0,0,0,1,0,0,0,1,J’ai beaucoup appris,[],0
102,"He's passionate, I highly recommend his course",4,0,0,0,0,1,0,0,1,1,"He's passionate, I highly recommend his course",[],0
103,"Très bien fait, immersion totale qui peut-être parfois est plus compliquée que de donner directement la traduction",4,0,1,0,0,1,0,0,0,1,"Très bien fait, immersion totale qui peut-être parfois est plus compliquée que de donner directement la traduction",[],0
104,"Je déteste le fond Jaune et les personnages ne sont pas représentatifs, de leraar avec un casque sur les oreilles par exemple, visuellement je le vois plus comme un étudiant et pourquoi pas le professeur avec une cravate ou une barbe",1,1,0,0,0,0,0,0,0,0,"Je déteste le fond Jaune et les personnages ne sont pas représentatifs, de leraar avec un casque sur les oreilles par exemple, visuellement je le vois plus comme un étudiant et pourquoi pas le professeur avec une cravate ou une barbe",[],0
105,"j’adore ce cours d’introduction vraiment très bien fait, Alain, de leraar is goed",4,0,0,0,0,1,0,0,1,1,"j’adore ce cours d’introduction vraiment très bien fait, Alain, de leraar is goed",[],0
106,Bravo Alain !,4,0,0,0,0,1,0,0,0,1,Bravo Alain !,[],0
107,"The course and the lecturer are both good, it is just that it would have been better if there were English/French translation as well",0,0,1,0,0,0,0,0,1,1,"The course and the lecturer are both good, it is just that it would have been better if there were English/French translation as well",[],0
108,Heel erg bedankt ! 🙂,4,0,0,0,0,1,0,0,0,2,Heel erg bedankt !,['🙂'],1
109,Facile de compréhension,4,0,0,0,0,1,0,0,1,1,Facile de compréhension,[],0
