No,feedback,aspect,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment,feed_no_emo,_emo,n_emo
1,"Excelente curso, muy completo",4,0,0,0,0,1,0,0,1,1,"Excelente curso, muy completo",[],0
2,Very nice course,4,0,0,0,0,1,0,0,1,1,Very nice course,[],0
3,Excelente curso!,4,0,0,0,0,1,0,0,1,1,Excelente curso!,[],0
4,"De verdad que he buscado varios cursos en esta plataforma y resultan terrible, se enfrascan en la teoría y luego la practica casi nula",2,1,0,1,0,0,1,0,0,0,"De verdad que he buscado varios cursos en esta plataforma y resultan terrible, se enfrascan en la teoría y luego la practica casi nula",[],0
5,"Pero este curso es perfecto si realmente desea aprender, las practicas muy completas, bien explicadas, la teoría es suficiente y el instructor maneja super bien el tema, la verdad recomiendo el curso muchísimo, uno de los pocos cursos que vale la pena comprar en esta plataforma",4,0,0,0,0,1,0,0,1,1,"Pero este curso es perfecto si realmente desea aprender, las practicas muy completas, bien explicadas, la teoría es suficiente y el instructor maneja super bien el tema, la verdad recomiendo el curso muchísimo, uno de los pocos cursos que vale la pena comprar en esta plataforma",[],0
6,"Muy Buen curso y bastante completo, para los que quieran aprender y no tengan conocimientos previos en este tema de procesamiento en lenguaje natural este curso les ayudará mucho , conmigo lo hizo, recomendado",4,0,0,0,0,1,0,0,1,1,"Muy Buen curso y bastante completo, para los que quieran aprender y no tengan conocimientos previos en este tema de procesamiento en lenguaje natural este curso les ayudará mucho , conmigo lo hizo, recomendado",[],0
7,"Muy buena explicación, tiene una buena metodología que te permite entender y comprender el código",4,0,0,0,0,1,0,0,1,1,"Muy buena explicación, tiene una buena metodología que te permite entender y comprender el código",[],0
8,Es muuuy practico y eso es lo bueno,4,0,0,0,0,1,0,0,0,1,Es muuuy practico y eso es lo bueno,[],0
9,Es un curso muy completo que abarca desde los aspectos básicos del Machine Learning y Deep Learning hasta los conceptos teóricos y prácticos utilizados en Procesamiento de Lenguaje Natural,4,0,0,0,0,0,0,0,1,1,Es un curso muy completo que abarca desde los aspectos básicos del Machine Learning y Deep Learning hasta los conceptos teóricos y prácticos utilizados en Procesamiento de Lenguaje Natural,[],0
10,"La metodología de enseñanza es muy buena ya que primero se explica la teoría y los algoritmos, para luego aplicarlo desarrollando los modelos de NLP con Python",4,0,0,0,0,0,0,0,1,1,"La metodología de enseñanza es muy buena ya que primero se explica la teoría y los algoritmos, para luego aplicarlo desarrollando los modelos de NLP con Python",[],0
11,entendí bien de que se trata el curso,4,0,0,0,0,1,0,0,1,1,entendí bien de que se trata el curso,[],0
12,Muy bien explicado todo,4,0,0,0,0,1,0,0,1,1,Muy bien explicado todo,[],0
13,Gran curso! Super didactico,4,0,0,0,0,1,0,0,1,1,Gran curso! Super didactico,[],0
14,"Muy buen nivel de comunicación, me es sencillo seguir el curso",4,0,0,0,0,1,0,0,1,1,"Muy buen nivel de comunicación, me es sencillo seguir el curso",[],0
15,"El curso está muy completo, tanto en la parte teórica como en la práctica",4,0,0,0,0,0,0,0,1,1,"El curso está muy completo, tanto en la parte teórica como en la práctica",[],0
16,Muy bueno,4,0,0,0,0,1,0,0,1,1,Muy bueno,[],0
17,"Buen curso, explica detalladamente toda las materias y desde la base (aunque escala muy rápido como es lógico)",4,0,0,0,0,1,0,0,1,1,"Buen curso, explica detalladamente toda las materias y desde la base (aunque escala muy rápido como es lógico)",[],0
18,"Me ha gustado sobre el tema de LSTM , donde se ha explicado con bastante profundidad el tema",4,0,0,0,0,1,0,0,1,1,"Me ha gustado sobre el tema de LSTM , donde se ha explicado con bastante profundidad el tema",[],0
19,"Si tuviera que ponerle un pero es en la parte de modelos transformers, creo que me hubiera gustado más profundidad con el tema",2,0,0,0,0,0,1,0,0,2,"Si tuviera que ponerle un pero es en la parte de modelos transformers, creo que me hubiera gustado más profundidad con el tema",[],0
20,"Buenas Manuel, ¡Te felicito por el curso que has realizado!",4,0,0,0,0,1,0,0,1,2,"Buenas Manuel, ¡Te felicito por el curso que has realizado!",[],0
21,"He utilizado anteriormente Udemy para cursos de programación, y sin duda este es el que mayor calidad tiene",4,0,0,0,0,1,0,0,1,1,"He utilizado anteriormente Udemy para cursos de programación, y sin duda este es el que mayor calidad tiene",[],0
22,"Tu contenido tiene un gran valor, y tus explicaciones son muy buenas",4,0,0,0,0,1,0,0,1,1,"Tu contenido tiene un gran valor, y tus explicaciones son muy buenas",[],0
23,¡Espero qué te vaya bien y sigas subiendo contenido!,4,0,0,0,0,0,0,0,1,1,¡Espero qué te vaya bien y sigas subiendo contenido!,[],0
24,Fuerte para mí ya que no tenía experiencia previa en el tema  😅,2,0,1,0,0,0,0,0,0,0,Fuerte para mí ya que no tenía experiencia previa en el tema,['😅'],1
