No,feedback,aspect,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment,feed_no_emo,_emo,n_emo
1,video stuck,0,1,0,1,0,0,0,0,0,0,video stuck,[],0
2,lebih byk error saat belajar dan ga bs lanjut ke materi berikutnya 😔,0,1,0,0,0,0,1,0,0,0,lebih byk error saat belajar dan ga bs lanjut ke materi berikutnya,['😔'],1
3,Di QA juga gak ada solusinya gmn nih belajarnya klo error tp ga da solusi di QA ? ,3,1,0,1,0,0,0,0,0,0,Di QA juga gak ada solusinya gmn nih belajarnya klo error tp ga da solusi di QA ?,[],0
4,tolong bila kursus ini lebih baik utk kedepannya 🙏,4,0,1,0,0,0,0,0,1,2,tolong bila kursus ini lebih baik utk kedepannya,['🙏'],1
5,"saya bertanya dari 2 bulan lalu tapi tidak pernah di tanggapi 😫, lebih seru belajar di grup facebook dan youtube",3,1,1,1,0,0,1,0,0,0,"saya bertanya dari 2 bulan lalu tapi tidak pernah di tanggapi , lebih seru belajar di grup facebook dan youtube",['😫'],1
6,Detail sekali 👍,4,0,0,0,0,1,0,1,0,1,Detail sekali,['👍'],1
7,"servernya kurang bagus,,nonton videonya sering loading,jadi kurang bersemangat belajarnya 😫",0,1,0,1,0,0,1,0,0,0,"servernya kurang bagus,,nonton videonya sering loading,jadi kurang bersemangat belajarnya",['😫'],1
8,Tidak jelas 😠,1,1,0,1,1,0,0,0,0,0,Tidak jelas,['😠'],1
9,"pada materi muncul pembelajaran dengan GNS VM, namun dari materi materi sebelumnya masih belum ada pembahasan tentang instalasi GNS VM, sehingga saya bingung 😓",2,0,0,0,1,0,1,0,0,0,"pada materi muncul pembelajaran dengan GNS VM, namun dari materi materi sebelumnya masih belum ada pembahasan tentang instalasi GNS VM, sehingga saya bingung",['😓'],1
10,"penyampaian materi terlalu cepat, langkah penjelasan kurang detail 😔",1,0,0,1,0,0,1,0,0,0,"penyampaian materi terlalu cepat, langkah penjelasan kurang detail",['😔'],1
11,"prakteknya pake komputer os windows, lalu gimana yang laptopnya hanya ada macOs? 😬",0,0,1,0,0,0,1,0,0,2,"prakteknya pake komputer os windows, lalu gimana yang laptopnya hanya ada macOs?",['😬'],1
