No,feedback,aspect,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment,feed_no_emo,_emo,n_emo
1,good,4,0,0,0,0,1,0,0,0,1,good,[],0
2,讲得非常好，从浅入深 👍,4,0,0,0,0,1,0,0,1,1,讲得非常好，从浅入深,['👍'],1
3,很喜欢这个课程，有理论有实践，完全适合第一次接触机器学习的人 🤩,4,0,0,0,0,1,0,0,1,1,很喜欢这个课程，有理论有实践，完全适合第一次接触机器学习的人,['🤩'],1
4,完全超出预期 😲,4,0,0,0,0,1,0,1,0,1,完全超出预期,['😲'],1
5,我觉得不错 🙂,4,0,0,0,0,1,0,0,0,1,我觉得不错,['🙂'],1
6,课程难度适中，实用性强 💪,4,0,0,0,0,1,0,0,1,1,课程难度适中，实用性强,['💪'],1
7,"Yes, it is a very detailed lectures with a good combination of the theory and the implementation on the apps",4,0,0,0,0,1,0,0,1,1,"Yes, it is a very detailed lectures with a good combination of the theory and the implementation on the apps",[],0
8,非常适合初学者入门 👍,4,0,1,0,0,1,0,0,1,1,非常适合初学者入门,['👍'],1
9,刚刚刷完了这门课，作为机器学习的入门，内容很全面，Python和R各用一遍，可谓干货满满，讲解多数情况下清晰易懂，上完了能对整个机器学习有个清楚地了解，加上是在原版基础上全中文重新制作 (而非) 🤓,4,0,1,0,0,1,0,0,1,1,刚刚刷完了这门课，作为机器学习的入门，内容很全面，Python和R各用一遍，可谓干货满满，讲解多数情况下清晰易懂，上完了能对整个机器学习有个清楚地了解，加上是在原版基础上全中文重新制作 (而非),['🤓'],1
10,非常适合，即使编程基础欠缺或者根本没有也可轻松上手！点燃了我的学习热情！此外，推荐先看看统计学教材 😄,4,0,1,0,0,1,0,0,1,1,非常适合，即使编程基础欠缺或者根本没有也可轻松上手！点燃了我的学习热情！此外，推荐先看看统计学教材,['😄'],1
11,我原先看过中国人民大学出版社的《统计学》，很有裨益！🙂,4,0,0,0,0,0,0,0,1,1,我原先看过中国人民大学出版社的《统计学》，很有裨益！,['🙂'],1
